doc_id,notice_code,notice_family,title,source_url,source_origin,source_format,heading_structure_present,verified_loaded,retrieved_at,priority_tier,download_status,cleaned_character_count,headings_found,content_hash
irs_cp44,CP44,refund_offset_review,Understanding your CP44 notice,https://www.irs.gov/individuals/understanding-your-cp44-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,1934,8,44ef1e156cc1071fa79ad405754be0f1f087e6e48c02318ed287b9613a5814fb
irs_cp49,CP49,refund_offset,Understanding your CP49 notice,https://www.irs.gov/individuals/understanding-your-cp49-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4627,14,bbb6e6bb6581364d45cb5844eef796be9bf4457d3a01c876f07f508cc2c137de
irs_cp59,CP59,non_filer,Understanding your CP59 notice,https://www.irs.gov/individuals/understanding-your-cp59-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,6377,8,d4dda5bb840e37abf06a88add9aacd03d0ab3cd65e200aa48714e0caeb8ed182
irs_cp63,CP63,non_filer,Understanding your CP63 notice,https://www.irs.gov/individuals/understanding-your-cp63-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,4540,12,6a2fa914467f13afe7632e5073543ca6bb518250d88b921cee072a51a5c948be
irs_cp71a,CP71A,balance_collection,Understanding your CP71A notice,https://www.irs.gov/individuals/understanding-your-cp71a-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4576,8,3ffcefbe507523e9ae307a75d030ce7e768f4c705031471f94cb1e742aa510f1
irs_cp90,CP90,levy_cdp,Understanding your CP90 notice,https://www.irs.gov/individuals/understanding-your-cp90-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,3618,10,785378fbd5ab8d8e8821b3132019cb1e10fb34946063179d5e029a779db935de
irs_cp101,CP101,business_return_adjustment,Understanding your CP101 notice,https://www.irs.gov/individuals/understanding-your-cp101-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4718,7,882c9e5711c144fb352873f2d3f05e78ee97fcaf024133f5a228d3a9a27e63ec
irs_cp102,CP102,business_return_adjustment,Understanding your CP102 notice,https://www.irs.gov/individuals/understanding-your-cp102-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4151,7,2ab1d365a273a64d0db017f4a8f0e3b772087a95878cd68c2e2954e5c568938f
irs_cp103,CP103,business_return_adjustment,Understanding your CP103 notice,https://www.irs.gov/individuals/understanding-your-cp103-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4659,13,232790730a134bb79ee490aeef579c831bcf5d361870a60257be444494fbda16
irs_cp106,CP106,business_return_adjustment,Understanding your CP106 notice,https://www.irs.gov/individuals/understanding-your-cp106-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,2018,7,208644709a29623cc1d298a9be7832633fec0bd6a8d6fcd42901c7d317875902
irs_cp120,CP120,tax_exempt_status,Understanding your CP120 notice,https://www.irs.gov/individuals/understanding-your-cp120-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,2324,8,4f9bc29aca316d71beb64ad00ec82509c9d1339bfc9df6eb52b2ec2c6a500e84
irs_cp131,CP131,business_return_adjustment,Understanding your CP131 notice,https://www.irs.gov/individuals/understanding-your-cp131-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,3276,9,138f6bdad56843a7281d6cb7a3336154e984aed66321a54c6a8b236408a54701
irs_cp2000_series,CP2000 series,underreporter_deficiency,Understanding your CP2000 series notice,https://www.irs.gov/individuals/understanding-your-cp2000-series-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,7252,14,d6f285da4b37bbdbbfce25b81bafe432c2b6dc1733529f7ab1394993312f7c04
irs_cp2501,CP2501,underreporter_deficiency,Understanding your CP2501 notice,https://www.irs.gov/individuals/understanding-your-cp2501-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,6760,16,6b55653813b312bd2209d4d098981cae423a24c498fe0590a9a723983b0aaf29
irs_cp2566,CP2566,non_filer,Understanding your CP2566 notice,https://www.irs.gov/individuals/understanding-your-cp2566-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,5833,11,998c84e9c6652a59572906337a24cd3f3219e4874a7b9561126d691816c62205
irs_cp2566r,CP2566R,non_filer,Understanding your CP2566R notice,https://www.irs.gov/individuals/understanding-your-cp2566r-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,6009,11,70465931ff053c13411476ea5164a99e4c999a9bd679f000288fc82bd83fedcc
irs_cp297,CP297,levy_cdp,Understanding your CP297 notice,https://www.irs.gov/individuals/understanding-your-cp297-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,2978,7,034b2f7d88fa767adf25229dca93be55cbd932f7d1045405cb58c4df2be3cbb3
irs_cp303,CP303,identity_security,Understanding your CP303 notice,https://www.irs.gov/individuals/understanding-your-cp303-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,1884,7,b6a03d599e21412f3672a0c704153b61ed3de270d97672b27eb95e3c2233e2dc
