model_id,role,candidate_order,comparison_status,probe_success,probe_seconds,answerable_answered,answerable_n,factual_claims,supported_claims,faithfulness,evaluator_coverage,refusal_correct,refusal_n,citation_provenance_rate,structured_successes,structured_attempts,structured_output_success_rate,warm_answered,warm_n,warm_generation_median_seconds,warm_generation_p95_seconds,warm_end_to_end_median_seconds,warm_end_to_end_p95_seconds,latency_target_met,answer_coverage_no_degradation,warm_answer_coverage_no_degradation,eligible,selected
Qwen/Qwen3-30B-A3B-Instruct-2507,baseline,0,fully_benchmarked,True,2.685654,9,10,23,23,1.0,1.0,4,4,1.0,30,30,1.0,18,20,7.929263,18.956699,9.775036,22.050282,False,True,True,True,True
nvidia/Nemotron-3_5-Lightning,latency_candidate,1,probe_rejected,False,,0,0,0,0,,0.0,0,0,,0,0,,0,0,,,,,False,False,False,False,False
deepseek-ai/DeepSeek-V4-Flash-0731,latency_candidate,2,fully_benchmarked,True,2.250707,3,10,6,6,1.0,1.0,4,4,1.0,25,30,0.8333333333333334,19,20,10.56682,17.76604,11.90387,18.949574,False,False,True,False,False
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B,latency_candidate,3,probe_rejected,False,,0,0,0,0,,0.0,0,0,,0,0,,0,0,,,,,False,False,False,False,False
